id,product_name,price,stock,date_added
1,Gardening Gloves with Claws,$790885.80,9,12/11/2024
2,Rice Pudding,$162401.24,18,8/3/2022
3,Fishing Rod,$245343.84,20,16/3/2021
4,Portable Air Purifier,$438836.66,3,26/9/2025
5,Teriyaki Chicken Stir-Fry,$7092.93,3,2/12/2022
6,Quinoa & Black Bean Salad,$448904.23,16,30/11/2024
7,Asian Noodle Salad Kit,$455564.33,11,13/2/2020
8,Measuring Cups Set,$125217.53,20,11/10/2023
9,Wall Decals for Kids,$181736.07,19,16/4/2021
10,Lemon Dill Salmon,$422309.01,11,6/4/2024
11,Skincare Set,$506732.92,8,18/2/2020
12,Stuffed Bell Peppers,$251680.84,6,23/11/2024
13,Sliced Cheese,$221163.12,13,20/10/2021
14,Elegant Lace Dress,$347309.28,1,11/7/2020
15,Craft Beer Mustard,$701022.90,18,16/4/2024
16,Cinnamon Ice Cream,$646370.79,12,14/1/2024
17,Grilled Veggie Burgers,$131590.48,8,2/4/2024
18,Electric Heat Pad,$655785.20,7,12/5/2020
19,Spicy Thai Coconut Soup,$67267.06,10,18/11/2020
20,Insulated Coffee Mug,$152788.42,6,6/4/2024
21,Vegetable Potstickers,$796465.30,9,4/11/2020
22,Herbed Mushroom Risotto,$933613.03,15,21/8/2020
23,Bamboo Cutting Board Set,$146245.76,14,15/9/2024
24,Italian Herbal Seasoning,$48423.02,2,20/8/2021
25,Dark Chocolate Covered Almonds,$418141.84,4,23/5/2021
26,Peanut Butter Protein Balls,$213751.80,13,15/6/2024
27,Garlic & Herb Goat Cheese,$119429.22,15,26/4/2022
28,Spinach and Ricotta Ravioli,$569167.03,18,30/7/2020
29,Maple Cinnamon Almonds,$121240.91,6,1/4/2021
30,Electric Wax Warmer,$922178.18,5,18/2/2023
31,LED Christmas Tree Lights,$446982.45,4,28/4/2023
32,Pasta Portion Control Measure,$428949.81,5,5/9/2023
33,Stylish Wireless Earbuds,$473024.31,19,8/8/2020
34,Travel Beach Blanket,$159885.98,17,7/3/2023
35,Smartphone Camera Lens Kit,$129698.53,15,19/4/2023
36,Fitness Resistance Bands Kit,$285744.10,6,20/10/2020
37,Cotton Basic Tank,$81814.53,16,4/9/2022
38,Shoe Organizer,$15568.02,11,13/6/2021
39,Pasta (Linguine),$703143.66,19,26/11/2020
40,Automatic Pet Feeder,$167522.00,11,30/8/2024
41,Outdoor Adventure Kit,$707067.01,18,20/3/2025
42,Raspberry Vanilla Greek Yogurt,$53457.01,14,13/10/2025
43,Electric Heat Press Machine,$553234.64,20,16/4/2021
44,Luxury Rolling Makeup Case,$285547.00,1,17/6/2022
45,Digital Food Thermometer,$713785.36,14,30/7/2025
46,Eco-Friendly Notepad,$266927.42,13,11/9/2023
47,Portable Hammock with Stand,$708492.10,7,6/12/2023
48,Reusable Produce Bags Set,$333122.14,13,17/11/2021
49,Over-The-Door Shoe Organizer,$938303.99,1,13/11/2023
50,Garden Vegetable Chips,$695925.50,7,17/1/2024
51,Apple Cinnamon Instant Oatmeal,$586496.62,7,27/6/2020
52,Curried Lentil Salad,$455824.32,13,8/9/2021
53,Chocolate Fudge Ice Cream,$664795.30,20,19/4/2024
54,Instant Camera,$235879.85,11,27/10/2023
55,Peach Slices (canned),$726455.47,8,31/8/2024
56,Almond Quinoa Salad,$834774.62,17,1/3/2020
57,Whole Grain Mustard,$632121.85,17,30/8/2024
58,Strawberry Banana Smoothie Pack,$94946.19,2,25/6/2022
59,Sculpting Kit,$635873.32,12,16/2/2025
60,Sliced Cheese,$776565.68,18,16/6/2022
61,Travel Hair Straightener,$962825.92,1,19/2/2023
62,Creamy Tomato Basil Soup,$341256.87,10,7/8/2024
63,Peanut Butter Filled Pretzels,$895571.92,2,25/9/2021
64,Foam Muscle Roller,$8418.67,5,28/4/2020
65,Banana Peanut Butter Smoothie,$536380.45,17,4/3/2020
66,Pumpkin Pie Spice,$884406.13,7,7/8/2025
67,Rice Cakes,$43083.98,18,14/6/2025
68,Lemon Zest Olive Oil,$368763.44,9,13/4/2023
69,Vegan Tacos,$969501.39,20,16/9/2024
70,Acoustic Guitar,$873584.06,15,8/8/2023
71,Casual Cropped Sweater,$11404.10,13,25/8/2023
72,Baked Potato Chips,$960158.94,2,29/12/2021
73,Eco-Friendly Cleaning Cloths,$281918.29,16,29/3/2023
74,Beef Taco Skillet,$286555.54,18,16/10/2021
75,Garlic Herb Seasoning,$786573.69,2,3/1/2023
76,Vanilla Bean Greek Yogurt,$399108.96,18,9/3/2022
77,Electric Wax Warmer,$620771.06,10,12/12/2021
78,Cajun Seasoning,$201324.73,20,28/11/2020
79,Eco-Friendly Yoga Blocks,$669786.46,2,25/11/2025
80,Mesh Sports Leggings,$282804.21,19,27/6/2022
81,Portable Electric Fan,$296815.30,8,20/2/2021
82,Non-Stick Crepe Pan,$215438.06,20,21/8/2023
83,Portable Speaker Stand,$879789.45,4,2/1/2022
84,Jasmine Rice,$987677.52,4,18/5/2020
85,Workstation Laptop Stand,$813286.91,20,11/6/2023
86,Cream Cheese,$263166.97,11,21/10/2020
87,Voice-Controlled Speaker,$582123.55,4,20/1/2022
88,Cinnamon Ice Cream,$301884.08,20,6/11/2021
89,Spicy Thai Chili Sauce,$668125.33,11,21/6/2021
90,Almond Flour,$310717.19,20,24/5/2022
91,Lemon Dill Chicken Skewers,$86736.56,9,26/8/2022
92,Portable USB-C Monitor,$819266.38,10,2/9/2020
93,Red Lentil Pasta,$491964.92,15,16/7/2021
94,Puffed Rice Cake,$119946.59,5,17/10/2024
95,Sweet Chili Thai Sauce,$201495.78,15,19/11/2024
96,Smashed Avocado with Lime,$4263.44,11,14/4/2022
97,Mango Chili Salsa,$725668.33,8,4/1/2023
98,Organic Honeycrisp Apples,$349319.62,4,17/2/2025
99,Ready-to-Eat Chili,$605175.00,1,13/12/2021
100,Savory Trail Mix,$434909.75,8,28/10/2022
101,Almond Milk Yogurt,$88821.00,19,23/1/2025
102,Dog Training Collar,$393617.02,7,24/5/2024
103,Chicken Breasts,$8748.65,7,5/12/2022
104,Vegetable Stir-Fry Sauce,$422277.35,18,21/9/2020
105,Herbed Goat Cheese,$44692.89,15,20/12/2024
106,Traditional Hummus,$993335.10,16,2/4/2021
107,Balsamic Salad Dressing,$404450.00,4,4/2/2020
108,Self-Watering Planter,$428411.90,4,26/8/2023
109,Mini Waffle Maker,$722090.66,5,11/5/2022
110,Bamboo Cutting Board Set,$737664.65,14,27/6/2022
111,Scented Candle Set,$916764.42,9,29/9/2025
112,Smoked Paprika,$45746.11,5,18/5/2021
